# Height[km]  Transmittance  Weighting_Function
4.180000        0.446079        0.051521
4.185000        0.446336        0.051514
4.190000        0.446594        0.051507
4.195000        0.446851        0.051499
4.200000        0.447109        0.051492
4.205000        0.447366        0.051485
4.210000        0.447624        0.051478
4.215000        0.447881        0.051471
4.220000        0.448138        0.051464
4.225000        0.448396        0.051456
4.230000        0.448653        0.051449
4.235000        0.448910        0.051442
4.240000        0.449167        0.051435
4.245000        0.449424        0.051427
4.250000        0.449682        0.051420
4.255000        0.449939        0.051413
4.260000        0.450196        0.051405
4.265000        0.450453        0.051398
4.270000        0.450710        0.051391
4.275000        0.450967        0.051383
4.280000        0.451223        0.051376
4.285000        0.451480        0.051368
4.290000        0.451737        0.051361
4.295000        0.451994        0.051353
4.300000        0.452251        0.051346
4.305000        0.452507        0.051338
4.310000        0.452764        0.051331
4.315000        0.453021        0.051323
4.320000        0.453277        0.051316
4.325000        0.453534        0.051308
4.330000        0.453790        0.051300
4.335000        0.454047        0.051293
4.340000        0.454303        0.051285
4.345000        0.454559        0.051277
4.350000        0.454816        0.051270
4.355000        0.455072        0.051262
4.360000        0.455328        0.051254
4.365000        0.455585        0.051246
4.370000        0.455841        0.051239
4.375000        0.456097        0.051231
4.380000        0.456353        0.051223
4.385000        0.456609        0.051215
4.390000        0.456865        0.051207
4.395000        0.457121        0.051199
4.400000        0.457377        0.051192
4.405000        0.457633        0.051184
4.410000        0.457889        0.051176
4.415000        0.458145        0.051168
4.420000        0.458401        0.051160
4.425000        0.458656        0.051152
4.430000        0.458912        0.051144
4.435000        0.459168        0.051136
4.440000        0.459423        0.051128
4.445000        0.459679        0.051120
4.450000        0.459934        0.051112
4.455000        0.460190        0.051103
4.460000        0.460445        0.051095
4.465000        0.460701        0.051087
4.470000        0.460956        0.051079
4.475000        0.461212        0.051071
4.480000        0.461467        0.051063
4.485000        0.461722        0.051054
4.490000        0.461977        0.051046
4.495000        0.462233        0.051038
4.500000        0.462488        0.051030
4.505000        0.462743        0.051021
4.510000        0.462998        0.051013
4.515000        0.463253        0.051005
4.520000        0.463508        0.050996
4.525000        0.463763        0.050988
4.530000        0.464018        0.050979
4.535000        0.464273        0.050971
4.540000        0.464527        0.050963
4.545000        0.464782        0.050954
4.550000        0.465037        0.050946
4.555000        0.465292        0.050937
4.560000        0.465546        0.050929
4.565000        0.465801        0.050920
4.570000        0.466055        0.050912
4.575000        0.466310        0.050903
4.580000        0.466564        0.050895
4.585000        0.466819        0.050886
4.590000        0.467073        0.050877
4.595000        0.467328        0.050869
4.600000        0.467582        0.050860
4.605000        0.467836        0.050851
4.610000        0.468090        0.050843
4.615000        0.468345        0.050834
4.620000        0.468599        0.050825
4.625000        0.468853        0.050817
4.630000        0.469107        0.050808
